english_name,thai_name,brand,price,serving_size,calories,total_fats,saturated_fat,cholesterol,protein,total_carbohydrates,dietary_fibre,total_sugars,sodium,image,category,ingredients,allergens
Jumbo Big Pao Minced Pork (Pork mixed Chicken) (Steamed Bun),จัมโบ้บิ๊กเปาหมูสับ (หมูผสมไก่) (ซาลาเปา),EZYGO,30,120,330,13,5,25,9,45,,13,400,,Dimsum,,
Jumbo Big Pao Barbecued Pork (Pork mixed Chicken) (Steamed Bun),จัมโบ้บิ๊กเปาหมูแดง (หมูผสมไก่) (ซาลาเปา),EZYGO,,120,310,6,2.5,5,10,53,,16,590,,Dimsum,,
Mini Minced Pork Pao (Steamed Bun),มินิเปาหมูสับ (ซาลาเปา),EZYGO,24,92,270,13,5,10,8,32,,5,360,,Dimsum,,
Mini Barbecued Pork Pao (Steamed Bun),มินิเปาหมูแดง (ซาลาเปา) ,EZYGO,24,92,220,4.5,2,5,9,36,,7,340,,Dimsum,,
Mini Cream Pao (Steamed Bun),มินิเปาครีม (ซาลาเปา) ,EZYGO,,92,210,3.5,1.5,5,4,41,,14,180,,Dimsum,,
Ham Cheese and Spinach Double Sandwich,ดับเบิ้ลแซนวิชแฮมชีสและผักโขม,EZYGO,39,112,300,13,7,10,10,36,,8,460,,Sandwich and Toasts,,
Shredded Pork with Salad Cream Croissant Sandwich,แซนวิชครัวซองค์ หมูหยองน้ำสลัด,EZYGO,32,96,380,20,10,20,10,40,,13,540,,Sandwich and Toasts,,
Tuna Salmon Croissant Sandwich,แซนวิชครัวซองค์ทูน่าแซลมอน,EZYGO,32,99,370,2,10,15,9,32,,6,450,,Sandwich and Toasts,,
Ham Cheese Croissant Sandwich,แซนวิชครัวซองต์ แฮมชีส,EZYGO,32,96,320,19,10,20,9,29,,3,780,,Sandwich and Toasts,,
Sausage Cheese Croissant Sandwich,แซนวิชครัวซองต์ไส้กรอกชีส,EZYGO,32,109,370,24,12,25,12,29,,2,610,,Sandwich and Toasts,,
Shredded Pork with Chilli Paste Sandwich,แซนวิชหมูหยองน้ำพริกเผา,EZYGO,29,77,260,11,7,10,7,33,,16,580,,Sandwich and Toasts,,
Shredded Pork with Salad Cream Sandwich,แซนวิชหมูหยองน้ำสลัด,EZYGO,29,74,280,14,7,10,7,31,,13,290,,Sandwich and Toasts,,
Sausage Cheese Sandwich,แซนวิชไส้กรอกชีส,EZYGO,29,91,270,14,7,30,11,25,,1,530,,Sandwich and Toasts,,
Ham Cheese Sandwich,แซนวิชแฮมชีส,EZYGO,29,79,240,14,8,15,8,22,,2,530,,Sandwich and Toasts,,
Ham Triple Cheese Sandwich,แซนวิช แฮมทริปเปิ้ลชีส ,EZYGO,37,80,230,9,5,15,9,26,,5,470,,Sandwich and Toasts,,
Carbonara Danish Sandwich,แชมวิชเดนิชคาโบนาร่า,EZYGO,35,105,410,27,16,10,9,33,,6,440,,Sandwich and Toasts,,
Egg Tart Sandwich,แซนวิชไส้ทาร์ตไข่,EZYGO,35,115,460,30,18,65,8,39,,12,290,,Sandwich and Toasts,,
Spinach and Cheese Danish Sandwich,แซนวิชเดนิช ผักโขมชีส,EZYGO,39,105,410,29,17,25,3,30,,4,520,,Sandwich and Toasts,,
Cheese Toasted Sandwich,ชีสโทสต์ แซนวิช,EZYGO,37,86,290,17,11,10,9,24,,4,470,,Sandwich and Toasts,,
Foi Thong and Chocolate Chip Crepe Sandwich,แซนวิชเครปฝอยทองช็อกโกแลตชิพ,EZYGO ⨉ Bow,35,42,180,7,3,95,4,26,,15,140,,Sandwich and Toasts,,
Shrimp Shumai (with Ground Fish and Pork),ขนมจีบกุ้ง (ผสมเนื้อปลาบดและหมู),EZYGO,42,120,300,20,7,45,9,21,,6,900,,Dimsum,,
Fish Oden with Dashi Soup,โอเดนปลากระดาชิ (เนื้อปลาบดปรุงรสสอดไส้น้ำซุปชิดาญี่ปุ่น),CP,27,70,120,6,1,10,6,10,,3,450,,Sides,,
Grilled Meat Balls (5 Sticks) with Meat Ball Dipping Sauce,ลูกชิ้นปิ้ง 5 ไม้ พร้อมน้ำจิ้มลูกชิ้น,EZYGO,39,125,,,,,,,,,,,Sides,,
Roti Topped with Milo,โรตีไมโล,EZYGO,35,100,380,20,6,5,8,42,,14,300,,Sandwich and Toasts,,
Shrimp (With Chicken) Burger,เบอร์เกอร์กุ้ง (ผสมไก่),EZYGO,29,93,190,4,1.5,15,10,28,,5,580,,Burgers,,
Pork Burger,เบอร์เกอร์หมู,EZYGO,29,93,240,10,3.5,15,11,27,,6,540,,Burgers,,
Spicy Chicken Burger with Mayo Sauce,บอร์เกอร์ไก่สไปซี่ซอสมาโย,CP,45,,,,,,,,,,,,Burgers,,
Beef Burger with Cheese and Hot Sauce,เบอร์เกอร์เนื้อและชีส ฮอตซอส,EZYGO,55,104,290,14,6,30,13,29,,4,710,,Burgers,,
Double Pork & Cheese Burger,เบอร์เกอร์ดับเบิ้ลหมูชีส,CP,42,127,380,21,8,50,18,29,2,7,670,,Burgers,,
Spicy Minced Meat (Pork & Chicken) Sticky Rice Burger,เบอร์เกอร์ข้าวเหนียวลาบแซ่บ (หมูผสมไก่),EZYGO,29,137,330,7,2,15,10,56,,1,500,,Burgers,,
Grilled Pork Sticky Rice Burger,เบอร์เกอร์ข้าวเหนียวหมูปิ้ง,EZYGO,29,141,350,9,2.5,15,10,56,,6,450,,Burgers,,
Jumbo Grilled Pork Sticky Rice Burger (Minced Chicken),เบอร์เกอร์ข้าวเหนียวจัมโบ้หมูปิ้ง (ผสมไก่),EZYGO,36,180,440,14,4.5,35,16,62,,10,750,,Burgers,,
Fried Chicken Burger with Teriyaki Sauce,เบอร์เกอร์ ไก่ทอด ซอสเทอริยากิ,CP,,,,,,,,,,,,,Burgers,,
Shrimp Cheese Burger with Spicy Sauce (With Chicken),เบอร์เกอร์ กุ้งชีส สไปซี (ผสมไก่),EZYGO,,113,310,12,3.5,20,14,37,,7,860,,Burgers,,
Grilled BBQ Chicken,ไก่ย่างบาร์บีคิว,EZYGO,38,90,,,,,,,,,,,Sides,,
Northeastern Thai sausage with fresh chili and pickled ginger.,ไส้กรอกอีสานพริกสด พร้อมขิงดอง,S. Khonkaen,73,,,,,,,,,,,,Sides,,
Shio Pan,ชิโอะปัง,EZYGO,32,60,230,11,7,40,7,25,,4,390,,Bakery,,
Neo Pizza Hawaiian,นีโอพิซซ่าหน้าฮาวาเอี้ยน,"Alfredo Enterprise Co., Ltd.",39,100,220,7,2.5,10,8,31,,8,430,,Bakery,,
Chicken Curry Filled Donut,โดนัทไส้กะหรี่ไก่,EZYGO,,69,210,11,4.5,10,6,22,,3,350,,Bakery,,
Pork Gyoza,เกี๊ยวซ่าไส้หมู,Oishi Eato,33,100,160,8,3,15,7,16,,3,540,,Dimsum,,
Shrimp Dumpling (Shrimp mixed Pork),เกี๊ยวกุ้ง (กุ้งผสมหมู),Jade Dragon,39,110,,,,,,,,,,,Dimsum,,
Baked spinach with cheese (Cheese sauce recipe),ผักโขมอบชีส (สูตรชีสซอส),Reo's deli,37,100,120,8,6,10,5,3,6,2,330,,Sides,,
Baked Lasagna with Cheese (Chicken & Pork),ลาซานญ่าอบชีส (ไก่ผสมหมู),Reo's deli,37,100,140,6,3.5,10,7,12,1,4,360,,Sides,,
Macaroni Cheese & Bacon,มักกะโรนีชีสเบคอน,Reo's deli,37,100,170,9,4.5,5,6,15,2,1,330,,Sides,,
Shrimp Roll with Seaweed Dimsum (with Chicken and Pork),,EZYGO,42,88,150,9,2.5,50,9,8,,5,650,,Dimsum,,
Crab Stick Mayonnaise and Tuna Mayonnaise Double Pocket Sandwich,ดับเบิ้ลแซนด์วงกระเปา ไส้ปูอัดมายองเนสและไส้ทูน่ามายองเนส,Le Pan,,100,270,11,2,10,6,34,,5,390,,Sandwich and Toasts,,
Crab Stick Mayonnaise and Ham Mayonnaise Double Pocket Sandwich,ดับเบิ้ลแซนด์วิชกระเป๋า ไช้ปูอัดมายองเนสและไส้แฮมมายองเนส,Le Pan,,100,260,11,2,10,6,34,,5,440,,Sandwich and Toasts,,
Shredded Pork Mayonnaise and Tuna Mayonnaise Double Pocket Sandwich,ดับเบิ้ลแซนด์วิชกระเป๋า ไส้หมูหยองมายองเนสะไส้ทูน่ามายองเนส,Le Pan,,100,280,11,1.5,15,7,37,,7,330,,Sandwich and Toasts,,
Shredded Pork Mayonnaise and Crab Stick Mayonnaise Double Pocket Sandwich,ดับเบิ้ลแซนด์วิชกระเป๋า ไส้หมูหยองมายองเนสและไส้ปูอัดมายองเนส,Le Pan,,100,290,12,1.5,15,7,37,,8,360,,Sandwich and Toasts,,
